"","language","article","date","views"
"11000","en","abu_sayyaf",2012-01-01,254
"1355","en","afghanistan",2012-01-01,5241
"1369","en","agro",2012-01-01,27
"1","en","al-qaeda",2012-01-01,2688
"13457","en","al-qaeda_in_the_arabian_peninsula",2012-01-01,104
"13460","en","al-qaeda_in_the_islamic_maghreb",2012-01-01,8
"13484","en","al-shabaab",2012-01-01,951
"1800","en","ammonium_nitrate",2012-01-01,670
"1346","en","attack",2012-01-01,93
"1700","en","biological_weapon",2012-01-01,63
"13442","en","car_bomb",2012-01-01,194
"1600","en","chemical_weapon",2012-01-01,162
"1400","en","conventional_weapon",2012-01-01,32
"1480","en","dirty_bomb",2012-01-01,374
"1390","en","eco-terrorism",2012-01-01,165
"1379","en","environmental_terrorism",2012-01-01,32
"13407","en","euskadi_ta_askatasuna",2012-01-01,26
"13472","en","extremism",2012-01-01,176
"12000","en","farc",2012-01-01,160
"13493","en","fundamentalism",2012-01-01,460
"11900","en","hamas",2012-01-01,1234
"13409","en","hezbollah",2012-01-01,906
"1900","en","improvised_explosive_device",2012-01-01,1343
"1358","en","iran",2012-01-01,11757
"1349","en","iraq",2012-01-01,3914
"13000","en","irish_republican_army",2012-01-01,2225
"13496","en","islamist",2012-01-01,138
"13445","en","jihad",2012-01-01,1167
"13487","en","nationalism",2012-01-01,1071
"13478","en","nigeria",2012-01-01,7860
"1590","en","nuclear",2012-01-01,123
"1500","en","nuclear_enrichment",2012-01-01,2
"1360","en","pakistan",2012-01-01,8452
"13439","en","palestine_liberation_front",2012-01-01,30
"13469","en","pirates",2012-01-01,441
"13436","en","plo",2012-01-01,139
"13481","en","political_radicalism",2012-01-01,87
"13490","en","recruitment",2012-01-01,525
"13475","en","somalia",2012-01-01,3985
"13454","en","suicide_attack",2012-01-01,394
"13451","en","suicide_bomber",2012-01-01,63
"13448","en","taliban",2012-01-01,2464
"13433","en","tamil_tigers",2012-01-01,83
"13463","en","tehrik-i-taliban_pakistan",2012-01-01,160
"1343","en","terror",2012-01-01,127
"1340","en","terrorism",2012-01-01,1707
"1460","en","weapons-grade",2012-01-01,46
"13466","en","yemen",2012-01-01,3577
"2800","en","abu_sayyaf",2012-01-02,351
"2108","en","afghanistan",2012-01-02,7460
"2130","en","agro",2012-01-02,46
"2","en","al-qaeda",2012-01-02,3409
"21040","en","al-qaeda_in_the_arabian_peninsula",2012-01-02,117
"21042","en","al-qaeda_in_the_islamic_maghreb",2012-01-02,12
"21058","en","al-shabaab",2012-01-02,892
"2600","en","ammonium_nitrate",2012-01-02,930
"2104","en","attack",2012-01-02,136
"2500","en","biological_weapon",2012-01-02,91
"21007","en","car_bomb",2012-01-02,228
"2400","en","chemical_weapon",2012-01-02,261
"2170","en","conventional_weapon",2012-01-02,39
"2200","en","dirty_bomb",2012-01-02,498
"2150","en","eco-terrorism",2012-01-02,201
"2140","en","environmental_terrorism",2012-01-02,38
"21002","en","euskadi_ta_askatasuna",2012-01-02,40
"21050","en","extremism",2012-01-02,373
"21000","en","farc",2012-01-02,177
"21064","en","fundamentalism",2012-01-02,680
"2900","en","hamas",2012-01-02,1744
"21003","en","hezbollah",2012-01-02,1238
"2700","en","improvised_explosive_device",2012-01-02,1661
"2120","en","iran",2012-01-02,23562
"2106","en","iraq",2012-01-02,4944
"21001","en","irish_republican_army",2012-01-02,2871
"21066","en","islamist",2012-01-02,156
"21008","en","jihad",2012-01-02,1622
"21060","en","nationalism",2012-01-02,1896
"21054","en","nigeria",2012-01-02,8996
"2300","en","nuclear",2012-01-02,165
"2280","en","nuclear_enrichment",2012-01-02,5
"2128","en","pakistan",2012-01-02,10803
"21006","en","palestine_liberation_front",2012-01-02,46
"21048","en","pirates",2012-01-02,559
"21005","en","plo",2012-01-02,173
"21056","en","political_radicalism",2012-01-02,147
"21062","en","recruitment",2012-01-02,982
"21052","en","somalia",2012-01-02,4300
"21038","en","suicide_attack",2012-01-02,432
"21036","en","suicide_bomber",2012-01-02,88
"21009","en","taliban",2012-01-02,3149
"21004","en","tamil_tigers",2012-01-02,134
"21044","en","tehrik-i-taliban_pakistan",2012-01-02,212
"2102","en","terror",2012-01-02,189
"2100","en","terrorism",2012-01-02,2307
"2190","en","weapons-grade",2012-01-02,66
"21046","en","yemen",2012-01-02,3442
"3677","en","abu_sayyaf",2012-01-03,423
"376","en","afghanistan",2012-01-03,7913
"388","en","agro",2012-01-03,44
"3","en","al-qaeda",2012-01-03,3944
