"","language","article","date","views"
"1480","en","abu_sayyaf",2012-01-01,254
"1","en","al-qaeda",2012-01-01,2688
"13000","en","al-qaeda_in_the_arabian_peninsula",2012-01-01,104
"13407","en","al-qaeda_in_the_islamic_maghreb",2012-01-01,8
"13436","en","al-shabaab",2012-01-01,951
"1400","en","biological_weapon",2012-01-01,63
"1800","en","car_bomb",2012-01-01,194
"1390","en","chemical_weapon",2012-01-01,162
"1355","en","conventional_weapon",2012-01-01,32
"1360","en","dirty_bomb",2012-01-01,374
"1349","en","eco-terrorism",2012-01-01,165
"1346","en","environmental_terrorism",2012-01-01,32
"1590","en","euskadi_ta_askatasuna",2012-01-01,26
"1500","en","farc",2012-01-01,160
"1600","en","hezbollah",2012-01-01,906
"1460","en","improvised_explosive_device",2012-01-01,1343
"13442","en","islamist",2012-01-01,138
"1900","en","jihad",2012-01-01,1167
"1379","en","nuclear",2012-01-01,123
"1369","en","nuclear_enrichment",2012-01-01,2
"1700","en","palestine_liberation_front",2012-01-01,30
"13433","en","political_radicalism",2012-01-01,87
"13439","en","recruitment",2012-01-01,525
"12000","en","suicide_attack",2012-01-01,394
"11900","en","suicide_bomber",2012-01-01,63
"11000","en","taliban",2012-01-01,2464
"13409","en","tehrik-i-taliban_pakistan",2012-01-01,160
"1343","en","terror",2012-01-01,127
"1340","en","terrorism",2012-01-01,1707
"1358","en","weapons-grade",2012-01-01,46
"2200","en","abu_sayyaf",2012-01-02,351
"2","en","al-qaeda",2012-01-02,3409
"21001","en","al-qaeda_in_the_arabian_peninsula",2012-01-02,117
"21002","en","al-qaeda_in_the_islamic_maghreb",2012-01-02,12
"21005","en","al-shabaab",2012-01-02,892
"2170","en","biological_weapon",2012-01-02,91
"2600","en","car_bomb",2012-01-02,228
"2150","en","chemical_weapon",2012-01-02,261
"2108","en","conventional_weapon",2012-01-02,39
"2128","en","dirty_bomb",2012-01-02,498
"2106","en","eco-terrorism",2012-01-02,201
"2104","en","environmental_terrorism",2012-01-02,38
"2300","en","euskadi_ta_askatasuna",2012-01-02,40
"2280","en","farc",2012-01-02,177
"2400","en","hezbollah",2012-01-02,1238
"2190","en","improvised_explosive_device",2012-01-02,1661
"21007","en","islamist",2012-01-02,156
"2700","en","jihad",2012-01-02,1622
"2140","en","nuclear",2012-01-02,165
"2130","en","nuclear_enrichment",2012-01-02,5
"2500","en","palestine_liberation_front",2012-01-02,46
"21004","en","political_radicalism",2012-01-02,147
"21006","en","recruitment",2012-01-02,982
"21000","en","suicide_attack",2012-01-02,432
"2900","en","suicide_bomber",2012-01-02,88
"2800","en","taliban",2012-01-02,3149
"21003","en","tehrik-i-taliban_pakistan",2012-01-02,212
"2102","en","terror",2012-01-02,189
"2100","en","terrorism",2012-01-02,2307
"2120","en","weapons-grade",2012-01-02,66
"3190","en","abu_sayyaf",2012-01-03,423
"3","en","al-qaeda",2012-01-03,3944
"3683","en","al-qaeda_in_the_arabian_peninsula",2012-01-03,131
"3685","en","al-qaeda_in_the_islamic_maghreb",2012-01-03,15
"3691","en","al-shabaab",2012-01-03,921
"3150","en","biological_weapon",2012-01-03,138
"3500","en","car_bomb",2012-01-03,242
"3100","en","chemical_weapon",2012-01-03,275
"376","en","conventional_weapon",2012-01-03,45
"380","en","dirty_bomb",2012-01-03,543
"374","en","eco-terrorism",2012-01-03,183
"370","en","environmental_terrorism",2012-01-03,34
"3290","en","euskadi_ta_askatasuna",2012-01-03,107
"3200","en","farc",2012-01-03,197
"3300","en","hezbollah",2012-01-03,1514
"3170","en","improvised_explosive_device",2012-01-03,1935
"3695","en","islamist",2012-01-03,173
"3600","en","jihad",2012-01-03,1802
"390","en","nuclear",2012-01-03,176
"388","en","nuclear_enrichment",2012-01-03,8
"3400","en","palestine_liberation_front",2012-01-03,41
"3689","en","political_radicalism",2012-01-03,177
"3693","en","recruitment",2012-01-03,1401
"3681","en","suicide_attack",2012-01-03,490
"3679","en","suicide_bomber",2012-01-03,133
"3677","en","taliban",2012-01-03,5440
"3687","en","tehrik-i-taliban_pakistan",2012-01-03,361
"369","en","terror",2012-01-03,219
"367","en","terrorism",2012-01-03,2723
"378","en","weapons-grade",2012-01-03,69
"470","en","abu_sayyaf",2012-01-04,418
"4","en","al-qaeda",2012-01-04,3905
"4107","en","al-qaeda_in_the_arabian_peninsula",2012-01-04,147
"4108","en","al-qaeda_in_the_islamic_maghreb",2012-01-04,11
"4132","en","al-shabaab",2012-01-04,866
"450","en","biological_weapon",2012-01-04,102
"4102","en","car_bomb",2012-01-04,233
"440","en","chemical_weapon",2012-01-04,281
"418","en","conventional_weapon",2012-01-04,50
"427","en","dirty_bomb",2012-01-04,472
"416","en","eco-terrorism",2012-01-04,165
"414","en","environmental_terrorism",2012-01-04,32
"490","en","euskadi_ta_askatasuna",2012-01-04,64
"480","en","farc",2012-01-04,179
"4100","en","hezbollah",2012-01-04,1453
"460","en","improvised_explosive_device",2012-01-04,1766
"4136","en","islamist",2012-01-04,144
"4103","en","jihad",2012-01-04,1971
"430","en","nuclear",2012-01-04,200
"429","en","nuclear_enrichment",2012-01-04,5
"4101","en","palestine_liberation_front",2012-01-04,36
"4130","en","political_radicalism",2012-01-04,182
"4134","en","recruitment",2012-01-04,1465
"4106","en","suicide_attack",2012-01-04,503
"4105","en","suicide_bomber",2012-01-04,127
"4104","en","taliban",2012-01-04,6252
"4109","en","tehrik-i-taliban_pakistan",2012-01-04,348
"412","en","terror",2012-01-04,184
"410","en","terrorism",2012-01-04,2752
"420","en","weapons-grade",2012-01-04,54
"570","en","abu_sayyaf",2012-01-05,804
"5","en","al-qaeda",2012-01-05,4134
"5107","en","al-qaeda_in_the_arabian_peninsula",2012-01-05,137
"5108","en","al-qaeda_in_the_islamic_maghreb",2012-01-05,7
"5132","en","al-shabaab",2012-01-05,966
"550","en","biological_weapon",2012-01-05,105
"5102","en","car_bomb",2012-01-05,232
"540","en","chemical_weapon",2012-01-05,257
"518","en","conventional_weapon",2012-01-05,43
"527","en","dirty_bomb",2012-01-05,439
"516","en","eco-terrorism",2012-01-05,195
"514","en","environmental_terrorism",2012-01-05,26
"590","en","euskadi_ta_askatasuna",2012-01-05,57
"580","en","farc",2012-01-05,228
"5100","en","hezbollah",2012-01-05,1652
"560","en","improvised_explosive_device",2012-01-05,1803
"5136","en","islamist",2012-01-05,140
"5103","en","jihad",2012-01-05,2041
"530","en","nuclear",2012-01-05,191
"529","en","nuclear_enrichment",2012-01-05,2
"5101","en","palestine_liberation_front",2012-01-05,55
"5130","en","political_radicalism",2012-01-05,174
"5134","en","recruitment",2012-01-05,1508
"5106","en","suicide_attack",2012-01-05,508
"5105","en","suicide_bomber",2012-01-05,126
"5104","en","taliban",2012-01-05,9072
"5109","en","tehrik-i-taliban_pakistan",2012-01-05,521
"512","en","terror",2012-01-05,180
"510","en","terrorism",2012-01-05,2940
"520","en","weapons-grade",2012-01-05,39
"670","en","abu_sayyaf",2012-01-06,1102
"6","en","al-qaeda",2012-01-06,8562
"6107","en","al-qaeda_in_the_arabian_peninsula",2012-01-06,292
"6108","en","al-qaeda_in_the_islamic_maghreb",2012-01-06,20
"6132","en","al-shabaab",2012-01-06,1770
"650","en","biological_weapon",2012-01-06,196
"6102","en","car_bomb",2012-01-06,444
"640","en","chemical_weapon",2012-01-06,570
"618","en","conventional_weapon",2012-01-06,76
"627","en","dirty_bomb",2012-01-06,1040
"616","en","eco-terrorism",2012-01-06,334
"614","en","environmental_terrorism",2012-01-06,64
"690","en","euskadi_ta_askatasuna",2012-01-06,108
"680","en","farc",2012-01-06,442
"6100","en","hezbollah",2012-01-06,3352
"660","en","improvised_explosive_device",2012-01-06,2948
"6136","en","islamist",2012-01-06,318
"6103","en","jihad",2012-01-06,3524
"630","en","nuclear",2012-01-06,424
"629","en","nuclear_enrichment",2012-01-06,4
"6101","en","palestine_liberation_front",2012-01-06,132
"6130","en","political_radicalism",2012-01-06,388
"6134","en","recruitment",2012-01-06,2586
"6106","en","suicide_attack",2012-01-06,1222
"6105","en","suicide_bomber",2012-01-06,266
"6104","en","taliban",2012-01-06,7940
"6109","en","tehrik-i-taliban_pakistan",2012-01-06,572
"612","en","terror",2012-01-06,360
"610","en","terrorism",2012-01-06,5478
"620","en","weapons-grade",2012-01-06,126
"7103","en","abu_sayyaf",2012-01-07,348
"7","en","al-qaeda",2012-01-07,3143
"7130","en","al-qaeda_in_the_arabian_peninsula",2012-01-07,85
"7132","en","al-qaeda_in_the_islamic_maghreb",2012-01-07,12
"7138","en","al-shabaab",2012-01-07,1478
"7101","en","biological_weapon",2012-01-07,106
"7108","en","car_bomb",2012-01-07,224
"7100","en","chemical_weapon",2012-01-07,261
"718","en","conventional_weapon",2012-01-07,44
"727","en","dirty_bomb",2012-01-07,412
"716","en","eco-terrorism",2012-01-07,179
"714","en","environmental_terrorism",2012-01-07,29
"7105","en","euskadi_ta_askatasuna",2012-01-07,63
"7104","en","farc",2012-01-07,178
"7106","en","hezbollah",2012-01-07,1383
"7102","en","improvised_explosive_device",2012-01-07,1194
"7142","en","islamist",2012-01-07,163
"7109","en","jihad",2012-01-07,1474
"730","en","nuclear",2012-01-07,149
"729","en","nuclear_enrichment",2012-01-07,1
"7107","en","palestine_liberation_front",2012-01-07,33
"7136","en","political_radicalism",2012-01-07,136
"7140","en","recruitment",2012-01-07,943
"7128","en","suicide_attack",2012-01-07,535
"7126","en","suicide_bomber",2012-01-07,105
"7124","en","taliban",2012-01-07,2785
"7134","en","tehrik-i-taliban_pakistan",2012-01-07,259
"712","en","terror",2012-01-07,165
"710","en","terrorism",2012-01-07,2089
"720","en","weapons-grade",2012-01-07,59
"8200","en","abu_sayyaf",2012-01-08,524
"8","en","al-qaeda",2012-01-08,3337
"81001","en","al-qaeda_in_the_arabian_peninsula",2012-01-08,89
"81002","en","al-qaeda_in_the_islamic_maghreb",2012-01-08,9
"81005","en","al-shabaab",2012-01-08,1216
"8170","en","biological_weapon",2012-01-08,103
"8600","en","car_bomb",2012-01-08,248
"8150","en","chemical_weapon",2012-01-08,298
"8108","en","conventional_weapon",2012-01-08,44
"8128","en","dirty_bomb",2012-01-08,415
"8106","en","eco-terrorism",2012-01-08,200
"8104","en","environmental_terrorism",2012-01-08,33
"8300","en","euskadi_ta_askatasuna",2012-01-08,45
"8280","en","farc",2012-01-08,229
"8400","en","hezbollah",2012-01-08,1287
"8190","en","improvised_explosive_device",2012-01-08,1368
"81007","en","islamist",2012-01-08,144
"8700","en","jihad",2012-01-08,1733
"8140","en","nuclear",2012-01-08,165
"8130","en","nuclear_enrichment",2012-01-08,7
